Ref,Qty,Value,Device,Package,Manufacturer,MFG Part #,Supplier,Voltage Rating,Connector Pitch,Notes
U1,1,ESP32-WROOM-32,MCU Module,SMD,Espressif,ESP32-WROOM-32,Digi-Key,3.3V,-,Base variant
U1,1,ESP32-CAM,MCU+Camera,SMD,AI-Thinker,ESP32-CAM,AliExpress,3.3V,-,"Alt variant, DNI camera signals"
U2,1,TB6612FNG,Motor Driver,SSOP24,Toshiba,TB6612FNG,Digi-Key,15V,-,Preferred
U3,1,MP1584,Buck 3.3V,SOP8,MPS,MP1584EN,LCSC,28V,-,1.5A output
U4,1,MP1584,Buck 5V,SOP8,MPS,MP1584EN,LCSC,28V,-,2A output
U5,1,CH340G,USB-UART,SOP16,WCH,CH340G,LCSC,5V,-,Programming
"L1, L2",2,33µH,Inductor,SMD 1210,-,-,LCSC,-,-,For buck converters
C1,1,1000µF 16V,Electrolytic,Radial 8x12mm,Nichicon,-,-,16V,-,Bulk input
C2-C15,14,100nF,Ceramic,0805,Samsung,-,LCSC,50V,-,Decoupling
C16-C20,5,10µF 16V,Ceramic,0805,Samsung,-,LCSC,16V,-,Power rails
"C21, C22",2,100µF 10V,Ceramic,1206,TDK,-,LCSC,10V,-,Buck outputs
R1-R10,10,10kΩ,Resistor,0805,-,-,LCSC,-,-,Pull-ups
R11-R14,4,1kΩ,Resistor,0805,-,-,LCSC,-,-,LED current limiting
D1-D4,4,1N4148,Diode,SOD-123,-,-,LCSC,100V,-,ESD protection
LED1-LED4,4,Red/Green/Blue,LED,0805,-,-,LCSC,-,-,Status indicators
F1,1,3A,Fuse,Blade,Littelfuse,-,Digi-Key,32V,-,Battery protection
J1,1,XT60,Connector,-,Amass,XT60-F,HobbyKing,-,-,Battery input
"J2, J3",2,2-pin 5.08mm,Screw Terminal,-,Phoenix,-,Digi-Key,-,5.08mm,Motor outputs
J4,1,3-pin Header,Male,2.54mm,-,-,-,-,2.54mm,Servo
J5,1,4-pin JST-XH,Female,-,JST,-,Digi-Key,-,2.50mm,GPS
J6,1,Micro-USB,Connector,SMD,-,-,LCSC,-,-,Programming
"SW1, SW2",2,Tactile,Button,6x6mm,-,-,LCSC,-,-,Boot/Reset
FB1,1,600Ω @100MHz,Ferrite Bead,0805,-,-,LCSC,-,-,EMI suppression
